0.002,1.93431e-23,0.649961,-5.32907e-21,-1.0472,1.5708,3.08382e-20,1.5708
0.004,2.7533e-22,0.649882,-8.88178e-21,-1.0472,1.5708,6.5993e-20,1.5708
0.006,5.5066e-22,0.649765,-2.30926e-20,-1.0472,1.5708,1.40721e-19,1.5708
0.008,9.52303e-22,0.649608,-4.79616e-20,-1.0472,1.5708,2.40713e-19,1.5708
0.01,1.48362e-21,0.649411,-6.39488e-20,-1.0472,1.5708,3.33922e-19,1.5708
0.012,2.14125e-21,0.649176,-7.4607e-20,-1.0472,1.5708,4.26187e-19,1.5708
0.014,2.7681e-21,0.648901,-7.63833e-20,-1.0472,1.5708,5.26253e-19,1.5708
0.016,3.25383e-21,0.648587,-8.17124e-20,-1.0472,1.5708,6.55065e-19,1.5708
0.018,3.81576e-21,0.648234,-8.70415e-20,-1.0472,1.5708,7.78164e-19,1.5708
0.02,4.3469e-21,0.647842,-9.23706e-20,-1.0472,1.5708,9.09858e-19,1.5708
0.022,4.8439e-21,0.64741,-9.41469e-20,-1.0472,1.5708,1.04434e-18,1.5708
0.024,5.30675e-21,0.646939,-9.23706e-20,-1.0472,1.5708,1.18161e-18,1.5708
0.026,5.8458e-21,0.646429,-8.34888e-20,-1.0472,1.5708,1.30153e-18,1.5708
0.028,6.35406e-21,0.64588,-7.4607e-20,-1.0472,1.5708,1.43003e-18,1.5708
0.03,6.98864e-21,0.645291,-5.50671e-20,-1.0472,1.5708,1.5351e-18,1.5708
0.032,7.58907e-21,0.644663,-3.90799e-20,-1.0472,1.5708,1.6546e-18,1.5708
0.034,8.26569e-21,0.643996,-1.59872e-20,-1.0472,1.5708,1.75674e-18,1.5708
0.036,8.90817e-21,0.64329,1.06581e-20,-1.0472,1.5708,1.86168e-18,1.5708
0.038,9.67696e-21,0.642544,4.79616e-20,-1.0472,1.5708,1.94316e-18,1.5708
0.04,1.0308e-20,0.64176,8.52651e-20,-1.0472,1.5708,2.0338e-18,1.5708
0.042,1.09049e-20,0.640936,1.26121e-19,-1.0472,1.5708,2.12722e-18,1.5708
0.044,1.1578e-20,0.640072,1.74083e-19,-1.0472,1.5708,2.20328e-18,1.5708
0.046,1.22169e-20,0.63917,2.25597e-19,-1.0472,1.5708,2.28213e-18,1.5708
0.048,1.28217e-20,0.638228,2.80664e-19,-1.0472,1.5708,2.36377e-18,1.5708
0.05,1.35027e-20,0.637247,3.42837e-19,-1.0472,1.5708,2.42805e-18,1.5708
0.052,1.41496e-20,0.636227,4.08562e-19,-1.0472,1.5708,2.49511e-18,1.5708
0.054,1.47623e-20,0.635167,4.7784e-19,-1.0472,1.5708,2.56497e-18,1.5708
0.056,1.54512e-20,0.634069,5.54223e-19,-1.0472,1.5708,2.61747e-18,1.5708
0.058,1.61059e-20,0.632931,6.34159e-19,-1.0472,1.5708,2.67275e-18,1.5708
0.06,1.67265e-20,0.631753,7.17648e-19,-1.0472,1.5708,2.73083e-18,1.5708
0.062,1.74233e-20,0.630537,8.08242e-19,-1.0472,1.5708,2.77154e-18,1.5708
0.064,1.8086e-20,0.629281,9.02389e-19,-1.0472,1.5708,2.81504e-18,1.5708
0.066,1.87179e-20,0.627986,9.96536e-19,-1.0472,1.5708,2.86714e-18,1.5708
0.068,1.94761e-20,0.626652,1.10134e-18,-1.0472,1.5708,2.8958e-18,1.5708
0.07,2.00965e-20,0.625279,1.20615e-18,-1.0472,1.5708,2.9336e-18,1.5708
0.072,2.06861e-20,0.623866,1.31095e-18,-1.0472,1.5708,2.97999e-18,1.5708
0.074,2.14021e-20,0.622414,1.42641e-18,-1.0472,1.5708,3.00295e-18,1.5708
0.076,2.20839e-20,0.620923,1.53833e-18,-1.0472,1.5708,3.04034e-18,1.5708
0.078,2.27316e-20,0.619393,1.65379e-18,-1.0472,1.5708,3.08052e-18,1.5708
0.08,2.33485e-20,0.617823,1.76925e-18,-1.0472,1.5708,3.12929e-18,1.5708
0.082,2.40917e-20,0.616214,1.89537e-18,-1.0472,1.5708,3.15463e-18,1.5708
