time,x,y,theta,q1,q2,q3,q4
0.114,8.25618e-20,0.585136,7.28129e-18,-1.0472,1.5708,1.67583e-17,1.5708
0.116,8.77876e-20,0.58286,7.60103e-18,-1.0472,1.5708,1.6862e-17,1.5708
0.118,9.32343e-20,0.580545,7.94387e-18,-1.0472,1.5708,1.69215e-17,1.5708
0.12,9.88608e-20,0.578191,8.29736e-18,-1.0472,1.5708,1.69572e-17,1.5708
0.122,1.04667e-19,0.575797,8.66152e-18,-1.0472,1.5708,1.69692e-17,1.5708
0.124,1.10694e-19,0.573364,9.04876e-18,-1.0472,1.5708,1.69369e-17,1.5708
0.126,1.16901e-19,0.570892,9.44667e-18,-1.0472,1.5708,1.68809e-17,1.5708
0.128,1.23288e-19,0.568381,9.85523e-18,-1.0472,1.5708,1.68012e-17,1.5708
0.13,1.29896e-19,0.56583,1.02869e-17,-1.0472,1.5708,1.66771e-17,1.5708
0.132,1.36724e-19,0.56324,1.07416e-17,-1.0472,1.5708,1.65088e-17,1.5708
0.134,1.43732e-19,0.560611,1.1207e-17,-1.0472,1.5708,1.63167e-17,1.5708
0.136,1.5076e-19,0.557943,1.16849e-17,-1.0472,1.5708,1.60989e-17,1.5708
0.138,1.57968e-19,0.555235,1.21734e-17,-1.0472,1.5708,1.58573e-17,1.5708
0.14,1.65355e-19,0.552489,1.26725e-17,-1.0472,1.5708,1.5592e-17,1.5708
0.142,1.72922e-19,0.549703,1.31823e-17,-1.0472,1.5708,1.5303e-17,1.5708
0.144,1.80669e-19,0.546877,1.37028e-17,-1.0472,1.5708,1.49903e-17,1.5708
0.146,1.88637e-19,0.544013,1.42464e-17,-1.0472,1.5708,1.46332e-17,1.5708
0.148,1.96784e-19,0.541109,1.48006e-17,-1.0472,1.5708,1.42525e-17,1.5708
0.15,2.05111e-19,0.538166,1.53655e-17,-1.0472,1.5708,1.3848e-17,1.5708
0.152,2.13619e-19,0.535184,1.5941e-17,-1.0472,1.5708,1.34199e-17,1.5708
0.154,2.22306e-19,0.532162,1.65272e-17,-1.0472,1.5708,1.2968e-17,1.5708
0.156,2.31012e-19,0.529102,1.71259e-17,-1.0472,1.5708,1.24903e-17,1.5708
0.158,2.40021e-19,0.526002,1.7728e-17,-1.0472,1.5708,1.19999e-17,1.5708
0.16,2.49209e-19,0.522862,1.83409e-17,-1.0472,1.5708,1.14858e-17,1.5708
0.162,2.58578e-19,0.519684,1.89644e-17,-1.0472,1.5708,1.0948e-17,1.5708
0.164,2.68249e-19,0.516466,1.95914e-17,-1.0472,1.5708,1.03975e-17,1.5708
0.166,2.78099e-19,0.513209,2.02292e-17,-1.0472,1.5708,9.82324e-18,1.5708
0.168,2.88253e-19,0.509913,2.08704e-17,-1.0472,1.5708,9.23632e-18,1.5708
0.17,2.98655e-19,0.506578,2.15223e-17,-1.0472,1.5708,8.61689e-18,1.5708
0.172,3.09039e-19,0.503203,2.21689e-17,-1.0472,1.5708,7.99252e-18,1.5708
0.174,3.19458e-19,0.499789,2.28173e-17,-1.0472,1.5708,7.3513e-18,1.5708
0.176,3.30126e-19,0.496336,2.34763e-17,-1.0472,1.5708,6.67758e-18,1.5708
0.178,3.4099e-19,0.492844,2.41354e-17,-1.0472,1.5708,5.98909e-18,1.5708
0.18,3.52049e-19,0.489312,2.47944e-17,-1.0472,1.5708,5.28584e-18,1.5708
0.182,3.63304e-19,0.485741,2.54534e-17,-1.0472,1.5708,4.56782e-18,1.5708
0.184,3.74807e-19,0.482131,2.6116e-17,-1.0472,1.5708,3.82895e-18,1.5708
0.186,3.86293e-19,0.478482,2.67733e-17,-1.0472,1.5708,3.08514e-18,1.5708
0.188,3.97974e-19,0.474793,2.74305e-17,-1.0472,1.5708,2.32657e-18,1.5708
0.19,4.0985e-19,0.471066,2.80984e-17,-1.0472,1.5708,1.53577e-18,1.5708
0.192,4.21976e-19,0.467299,2.87699e-17,-1.0472,1.5708,7.24101e-19,1.5708
0.194,4.34351e-19,0.463492,2.94396e-17,-1.0472,1.5708,-9.96891e-20,1.5708
0.196,4.46921e-19,0.459647,3.01199e-17,-1.0472,1.5708,-9.55713e-19,1.5708
0.198,4.5974e-19,0.455762,3.07914e-17,-1.0472,1.5708,-1.81221e-18,1.5708
0.2,4.72648e-19,0.451838,3.1454e-17,-1.0472,1.5708,-2.66837e-18,1.5708
0.202,1.32686e-06,0.447871,2.34151e-05,-1.05087,1.57634,-4.51672e-05,1.57085
0.204,3.57442e-06,0.443861,6.30766e-05,-1.05759,1.58649,-0.000121673,1.57093
0.206,6.27251e-06,0.43981,0.000110685,-1.06686,1.60046,-0.00021351,1.57104
0.208,8.95085e-06,0.435716,0.000157941,-1.07821,1.61757,-0.000304664,1.57117
0.21,1.11747e-05,0.431581,0.000197169,-1.09129,1.63724,-0.000380333,1.57131
0.212,1.25626e-05,0.427405,0.000221637,-1.10578,1.65897,-0.000427527,1.57145
0.214,1.27924e-05,0.423187,0.00022566,-1.12141,1.68235,-0.000435278,1.57159
0.216,1.16003e-05,0.418928,0.000204585,-1.13797,1.70702,-0.00039461,1.57171
0.218,8.77663e-06,0.414628,0.00015471,-1.15527,1.7327,-0.000298379,1.57182
0.22,4.158e-06,0.410287,7.31548e-05,-1.17316,1.75913,-0.000141028,1.57191
0.222,-2.37982e-06,0.405906,-4.22698e-05,-1.19153,1.78612,8.16703e-05,1.57198
0.224,-1.093e-05,0.401484,-0.000193205,-1.21028,1.81349,0.000372884,1.57202
0.226,-2.15618e-05,0.397022,-0.000380872,-1.22933,1.8411,0.000734971,1.57204
0.228,-3.43278e-05,0.392519,-0.000606193,-1.24862,1.86886,0.00116971,1.57203
0.23,-4.92692e-05,0.387976,-0.000869894,-1.26809,1.89668,0.00167851,1.57199
0.232,-6.64212e-05,0.383393,-0.00117259,-1.28773,1.92447,0.00226256,1.57192
0.234,-8.58166e-05,0.37877,-0.00151486,-1.30749,1.95221,0.00292297,1.57182
0.236,-0.00010749,0.374107,-0.0018973,-1.32738,1.97983,0.00366091,1.57169
0.238,-0.000140768,0.370363,-0.00251662,-1.34321,2.00251,0.00478497,1.57163
0.24,-0.000183423,0.367396,-0.0033377,-1.35558,2.02098,0.0062412,1.57157
0.242,-0.000233739,0.365083,-0.00433477,-1.36502,2.03591,0.00799043,1.57146
0.244,-0.000290413,0.363319,-0.00548896,-1.37196,2.04786,0.0100035,1.57124
0.246,-0.000352441,0.362011,-0.00678577,-1.37678,2.0573,0.0122574,1.5709
0.248,-0.000419046,0.361085,-0.00821363,-1.37979,2.06465,0.0147329,1.57041
0.25,-0.000489601,0.360473,-0.00976249,-1.38128,2.07027,0.0174131,1.56977
0.252,-0.000563584,0.36012,-0.0114232,-1.38148,2.07444,0.0202822,1.56898
0.254,-0.000640551,0.359978,-0.013187,-1.3806,2.07742,0.0233252,1.56804
0.256,-0.000720118,0.360007,-0.0150457,-1.37882,2.07943,0.0265274,1.56695
0.258,-0.000801952,0.360173,-0.016991,-1.37628,2.08064,0.0298746,1.56573
0.26,-0.000885781,0.360446,-0.0190157,-1.37312,2.08122,0.0333533,1.56439
0.262,-0.000971363,0.360804,-0.0211126,-1.36945,2.08128,0.0369504,1.56295
0.264,-0.00105848,0.361225,-0.0232748,-1.36537,2.08094,0.0406536,1.56143
0.266,-0.00114693,0.361693,-0.0254958,-1.36095,2.08028,0.0444514,1.55982
0.268,-0.00123654,0.362192,-0.0277696,-1.35626,2.07939,0.0483332,1.55816
0.27,-0.00132721,0.362713,-0.0300912,-1.35137,2.07832,0.0522898,1.55644
0.272,-0.0014188,0.363245,-0.032456,-1.34633,2.07713,0.0563127,1.55468
0.274,-0.00151123,0.36378,-0.0348598,-1.34116,2.07585,0.0603948,1.55288
0.276,-0.00160441,0.364312,-0.0372993,-1.33592,2.07453,0.0645313,1.55105
0.278,-0.0016983,0.364836,-0.0397716,-1.33062,2.0732,0.0687178,1.5492
0.28,-0.00179283,0.365348,-0.0422743,-1.32528,2.07187,0.0729508,1.54735
0.282,-0.00188799,0.365844,-0.0448058,-1.31993,2.07057,0.0772273,1.54552
0.284,-0.00198374,0.366322,-0.0473646,-1.31458,2.06931,0.0815453,1.5437
0.286,-0.00208006,0.366781,-0.0499499,-1.30924,2.06811,0.0859032,1.54192
0.288,-0.00217696,0.367219,-0.0525615,-1.30391,2.06697,0.0903007,1.54017
0.29,-0.00227443,0.367635,-0.0551993,-1.2986,2.06589,0.0947376,1.53845
0.292,-0.00237248,0.368029,-0.0578639,-1.29332,2.06489,0.0992149,1.53677
0.294,-0.00247113,0.3684,-0.0605561,-1.28806,2.06397,0.103734,1.53513
0.296,-0.0025704,0.368749,-0.063277,-1.28283,2.06313,0.108296,1.53352
0.298,-0.00267032,0.369075,-0.0660282,-1.27762,2.06237,0.112905,1.53194
0.3,-0.00277092,0.369379,-0.0688114,-1.27242,2.0617,0.117563,1.53038
0.302,-0.00287224,0.369662,-0.0716287,-1.26724,2.0611,0.122273,1.52886
0.304,-0.00297432,0.369924,-0.0744823,-1.26208,2.06059,0.127039,1.52735
0.306,-0.0030772,0.370165,-0.0773746,-1.25691,2.06015,0.131866,1.52586
0.308,-0.00318093,0.370386,-0.0803082,-1.25175,2.0598,0.136757,1.52438
0.31,-0.00328555,0.370588,-0.083286,-1.24657,2.05952,0.141717,1.52291
0.312,-0.00339113,0.370772,-0.0863107,-1.24139,2.05931,0.146751,1.52144
