t,x,theta,u
0.001,0,0.523599,-34.541
0.002,-1.60436e-05,0.523561,-34.1504
0.003,-6.39887e-05,0.523447,-33.7617
0.004,-0.000143465,0.523258,-33.3748
0.005,-0.000254106,0.522996,-32.9897
0.006,-0.000395547,0.522661,-32.6063
0.007,-0.000567424,0.522255,-32.2247
0.008,-0.000769377,0.521778,-31.8446
0.009,-0.00100105,0.521231,-31.4662
0.01,-0.00126208,0.520616,-31.0894
0.011,-0.00155212,0.519933,-30.7142
0.012,-0.00187082,0.519184,-30.3406
0.013,-0.00221783,0.518369,-29.9684
0.014,-0.00259279,0.517489,-29.5978
0.015,-0.00299537,0.516545,-29.2287
0.016,-0.00342522,0.515539,-28.861
0.017,-0.00388199,0.51447,-28.4948
0.018,-0.00436534,0.51334,-28.1301
0.019,-0.00487495,0.512151,-27.7668
0.02,-0.00541046,0.510902,-27.405
0.021,-0.00597155,0.509594,-27.0446
0.022,-0.00655788,0.508229,-26.6856
0.023,-0.00716912,0.506808,-26.3281
0.024,-0.00780493,0.505331,-25.9719
0.025,-0.00846499,0.503798,-25.6173
0.026,-0.00914897,0.502212,-25.264
0.027,-0.00985655,0.500573,-24.9123
0.028,-0.0105874,0.498881,-24.5619
0.029,-0.0113412,0.497138,-24.2131
0.03,-0.0121176,0.495344,-23.8656
0.031,-0.0129163,0.4935,-23.5197
0.032,-0.013737,0.491607,-23.1753
0.033,-0.0145794,0.489666,-22.8323
0.034,-0.0154432,0.487677,-22.4909
0.035,-0.0163279,0.485642,-22.151
0.036,-0.0172334,0.483561,-21.8127
0.037,-0.0181594,0.481435,-21.4759
0.038,-0.0191054,0.479265,-21.1406
0.039,-0.0200712,0.477051,-20.807
0.04,-0.0210565,0.474794,-20.475
0.041,-0.022061,0.472496,-20.1447
0.042,-0.0230844,0.470156,-19.816
0.043,-0.0241263,0.467776,-19.4889
0.044,-0.0251865,0.465357,-19.1636
0.045,-0.0262647,0.462898,-18.8399
0.046,-0.0273606,0.460402,-18.518
0.047,-0.0284738,0.457868,-18.1979
0.048,-0.0296042,0.455297,-17.8796
0.049,-0.0307513,0.452691,-17.563
0.05,-0.031915,0.450049,-17.2483
0.051,-0.0330948,0.447373,-16.9354
0.052,-0.0342905,0.444663,-16.6244
0.053,-0.0355019,0.44192,-16.3153
0.054,-0.0367287,0.439145,-16.0082
0.055,-0.0379705,0.436339,-15.7029
0.056,-0.039227,0.433501,-15.3996
0.057,-0.0404981,0.430634,-15.0984
0.058,-0.0417834,0.427737,-14.7991
0.059,-0.0430826,0.424811,-14.5018
0.06,-0.0443955,0.421858,-14.2067
0.061,-0.0457218,0.418877,-13.9135
0.062,-0.0470612,0.415869,-13.6225
0.063,-0.0484134,0.412836,-13.3337
0.064,-0.0497782,0.409777,-13.0469
0.065,-0.0511554,0.406693,-12.7623
0.066,-0.0525445,0.403586,-12.4799
0.067,-0.0539455,0.400455,-12.1997
0.068,-0.0553579,0.397302,-11.9217
0.069,-0.0567817,0.394127,-11.646
0.07,-0.0582164,0.390931,-11.3725
0.071,-0.0596618,0.387714,-11.1013
0.072,-0.0611178,0.384476,-10.8324
0.073,-0.0625839,0.38122,-10.5659
0.074,-0.0640601,0.377945,-10.3016
0.075,-0.065546,0.374652,-10.0397
0.076,-0.0670414,0.371341,-9.78012
0.077,-0.068546,0.368013,-9.52293
0.078,-0.0700596,0.364669,-9.26813
0.079,-0.071582,0.36131,-9.01573
0.08,-0.0731129,0.357936,-8.76574
0.081,-0.0746521,0.354547,-8.51817
0.082,-0.0761993,0.351144,-8.27304
0.083,-0.0777544,0.347728,-8.03035
0.084,-0.079317,0.3443,-7.79011
0.085,-0.080887,0.340859,-7.55233
0.086,-0.0824642,0.337407,-7.31702
0.087,-0.0840482,0.333944,-7.08419
0.088,-0.0856389,0.330471,-6.85384
0.089,-0.0872361,0.326988,-6.62598
0.09,-0.0888396,0.323496,-6.4006
0.091,-0.090449,0.319995,-6.17773
0.092,-0.0920643,0.316486,-5.95735
0.093,-0.0936852,0.312969,-5.73948
0.094,-0.0953115,0.309445,-5.5241
0.095,-0.096943,0.305915,-5.31124
0.096,-0.0985795,0.302379,-5.10087
0.097,-0.100221,0.298837,-4.89301
0.098,-0.101867,0.29529,-4.68765
0.099,-0.103517,0.291739,-4.48479
0.1,-0.105171,0.288184,-4.28443
0.101,-0.10683,0.284625,-4.08656
0.102,-0.108492,0.281063,-3.89118
0.103,-0.110158,0.277499,-3.69828
0.104,-0.111827,0.273933,-3.50786
0.105,-0.1135,0.270365,-3.31991
0.106,-0.115175,0.266796,-3.13443
0.107,-0.116854,0.263226,-2.95141
0.108,-0.118535,0.259657,-2.77083
0.109,-0.120219,0.256087,-2.59269
0.11,-0.121905,0.252518,-2.41698
0.111,-0.123593,0.24895,-2.24369
0.112,-0.125284,0.245384,-2.07281
0.113,-0.126976,0.241819,-1.90433
