t,x,theta,u
0.128,-0.0687245,0.455081,-4.50416
0.129,-0.0696944,0.454262,-4.42415
0.13,-0.0706678,0.453446,-4.34486
0.131,-0.0716447,0.452635,-4.26629
0.132,-0.0726249,0.451828,-4.18843
0.133,-0.0736083,0.451025,-4.11128
0.134,-0.074595,0.450227,-4.03484
0.135,-0.0755848,0.449434,-3.9591
0.136,-0.0765776,0.448646,-3.88405
0.137,-0.0775735,0.447863,-3.8097
0.138,-0.0785722,0.447086,-3.73604
0.139,-0.0795738,0.446314,-3.66307
0.14,-0.0805781,0.445548,-3.59078
0.141,-0.0815852,0.444788,-3.51916
0.142,-0.0825949,0.444034,-3.44823
0.143,-0.0836072,0.443286,-3.37796
0.144,-0.084622,0.442545,-3.30836
0.145,-0.0856392,0.441811,-3.23942
0.146,-0.0866588,0.441083,-3.17113
0.147,-0.0876807,0.440362,-3.10351
0.148,-0.0887048,0.439649,-3.03653
0.149,-0.0897312,0.438942,-2.97019
0.15,-0.0907596,0.438244,-2.9045
0.151,-0.0917901,0.437553,-2.83945
0.152,-0.0928226,0.43687,-2.77503
0.153,-0.0938571,0.436194,-2.71123
0.154,-0.0948934,0.435527,-2.64806
0.155,-0.0959315,0.434869,-2.58551
0.156,-0.0969714,0.434218,-2.52358
0.157,-0.0980129,0.433577,-2.46226
0.158,-0.0990561,0.432944,-2.40154
0.159,-0.100101,0.43232,-2.34143
0.16,-0.101147,0.431705,-2.28191
0.161,-0.102195,0.4311,-2.22299
0.162,-0.103244,0.430503,-2.16466
0.163,-0.104295,0.429917,-2.10691
0.164,-0.105347,0.42934,-2.04974
0.165,-0.1064,0.428773,-1.99315
0.166,-0.107454,0.428216,-1.93713
0.167,-0.108509,0.427669,-1.88168
0.168,-0.109566,0.427132,-1.82679
0.169,-0.110623,0.426606,-1.77246
0.17,-0.111682,0.42609,-1.71869
0.171,-0.112741,0.425585,-1.66546
0.172,-0.113801,0.425091,-1.61278
0.173,-0.114863,0.424608,-1.56063
0.174,-0.115925,0.424136,-1.50903
0.175,-0.116987,0.423675,-1.45795
0.176,-0.11805,0.423226,-1.40741
0.177,-0.119114,0.422788,-1.35738
0.178,-0.120179,0.422361,-1.30788
0.179,-0.121244,0.421947,-1.25888
0.18,-0.12231,0.421544,-1.2104
0.181,-0.123376,0.421154,-1.16242
0.182,-0.124442,0.420775,-1.11494
0.183,-0.125509,0.420409,-1.06796
0.184,-0.126576,0.420055,-1.02147
0.185,-0.127643,0.419714,-0.975471
0.186,-0.128711,0.419386,-0.929952
0.187,-0.129778,0.41907,-0.884911
0.188,-0.130846,0.418767,-0.840345
0.189,-0.131914,0.418477,-0.796248
0.19,-0.132982,0.418201,-0.752617
0.191,-0.13405,0.417937,-0.709448
0.192,-0.135118,0.417687,-0.666735
0.193,-0.136186,0.417451,-0.624475
0.194,-0.137254,0.417228,-0.582664
0.195,-0.138321,0.417019,-0.541297
0.196,-0.139389,0.416823,-0.500369
0.197,-0.140456,0.416642,-0.459878
0.198,-0.141523,0.416475,-0.419818
0.199,-0.142589,0.416322,-0.380185
0.2,-0.143655,0.416183,-0.340976
0.201,-0.144721,0.416058,-0.302186
0.202,-0.145787,0.415949,-0.263811
0.203,-0.146851,0.415853,-0.225846
0.204,-0.147916,0.415773,-0.188289
0.205,-0.14898,0.415707,-0.151134
0.206,-0.150043,0.415657,-0.114378
0.207,-0.151106,0.415621,-0.0780165
0.208,-0.152168,0.4156,-0.042046
0.209,-0.153229,0.415595,-0.00646223
0.21,-0.15429,0.415605,0.0287386
0.211,-0.15535,0.415631,0.0635605
0.212,-0.156409,0.415672,0.0980073
0.213,-0.157467,0.415729,0.132083
0.214,-0.158525,0.415802,0.165791
0.215,-0.159581,0.415891,0.199136
0.216,-0.160637,0.415995,0.23212
0.217,-0.161692,0.416116,0.264749
0.218,-0.162746,0.416253,0.297025
0.219,-0.163798,0.416406,0.328953
0.22,-0.16485,0.416576,0.360536
0.221,-0.165901,0.416762,0.391777
0.222,-0.16695,0.416964,0.422681
0.223,-0.167999,0.417183,0.453251
0.224,-0.169046,0.41742,0.48349
0.225,-0.170092,0.417672,0.513402
0.226,-0.171137,0.417942,0.54299
0.227,-0.172181,0.418229,0.572259
0.228,-0.173223,0.418533,0.601211
0.229,-0.174264,0.418855,0.629849
0.23,-0.175304,0.419193,0.658178
0.231,-0.176342,0.41955,0.6862
0.232,-0.177379,0.419923,0.71392
0.233,-0.178415,0.420314,0.741339
0.234,-0.179449,0.420723,0.768462
0.235,-0.180482,0.42115,0.795292
0.236,-0.181513,0.421595,0.821831
0.237,-0.182543,0.422057,0.848084
0.238,-0.183571,0.422538,0.874053
0.239,-0.184597,0.423037,0.899741
0.24,-0.185623,0.423554,0.925152
0.241,-0.186646,0.42409,0.950288
0.242,-0.187668,0.424643,0.975153
0.243,-0.188688,0.425216,0.999749
0.244,-0.189706,0.425807,1.02408
