t,x,theta,u
0.129,-0.109713,0.326564,-5.11437
0.13,-0.111131,0.324182,-5.02543
0.131,-0.112553,0.321797,-4.93706
0.132,-0.11398,0.319407,-4.84925
0.133,-0.11541,0.317015,-4.762
0.134,-0.116845,0.314619,-4.67533
0.135,-0.118285,0.31222,-4.58922
0.136,-0.119728,0.309818,-4.50369
0.137,-0.121175,0.307413,-4.41872
0.138,-0.122627,0.305005,-4.33432
0.139,-0.124082,0.302596,-4.2505
0.14,-0.125541,0.300184,-4.16725
0.141,-0.127003,0.29777,-4.08456
0.142,-0.12847,0.295354,-4.00245
0.143,-0.129939,0.292936,-3.92091
0.144,-0.131413,0.290516,-3.83995
0.145,-0.132889,0.288095,-3.75955
0.146,-0.134369,0.285673,-3.67973
0.147,-0.135852,0.28325,-3.60048
0.148,-0.137339,0.280826,-3.5218
0.149,-0.138828,0.278401,-3.44369
0.15,-0.14032,0.275975,-3.36615
0.151,-0.141816,0.273548,-3.28919
0.152,-0.143314,0.271122,-3.21279
0.153,-0.144815,0.268695,-3.13696
0.154,-0.146319,0.266268,-3.0617
0.155,-0.147825,0.263841,-2.98701
0.156,-0.149334,0.261414,-2.91289
0.157,-0.150846,0.258988,-2.83933
0.158,-0.15236,0.256562,-2.76634
0.159,-0.153876,0.254136,-2.69391
0.16,-0.155395,0.251712,-2.62204
0.161,-0.156916,0.249288,-2.55074
0.162,-0.158439,0.246866,-2.48
0.163,-0.159964,0.244444,-2.40982
0.164,-0.161491,0.242024,-2.3402
0.165,-0.16302,0.239605,-2.27113
0.166,-0.164552,0.237188,-2.20262
0.167,-0.166085,0.234773,-2.13467
0.168,-0.167619,0.232359,-2.06727
0.169,-0.169156,0.229947,-2.00041
0.17,-0.170694,0.227538,-1.93411
0.171,-0.172234,0.22513,-1.86836
0.172,-0.173775,0.222725,-1.80315
0.173,-0.175318,0.220322,-1.73849
0.174,-0.176862,0.217922,-1.67437
0.175,-0.178408,0.215524,-1.61079
0.176,-0.179954,0.21313,-1.54775
0.177,-0.181502,0.210738,-1.48525
0.178,-0.183052,0.208349,-1.42328
0.179,-0.184602,0.205963,-1.36185
0.18,-0.186154,0.203581,-1.30094
0.181,-0.187706,0.201202,-1.24056
0.182,-0.189259,0.198826,-1.18071
0.183,-0.190814,0.196454,-1.12139
0.184,-0.192369,0.194085,-1.06259
0.185,-0.193925,0.19172,-1.0043
0.186,-0.195481,0.189359,-0.946534
0.187,-0.197038,0.187002,-0.889282
0.188,-0.198596,0.18465,-0.832542
0.189,-0.200155,0.182301,-0.776312
0.19,-0.201714,0.179956,-0.72059
0.191,-0.203273,0.177616,-0.665373
0.192,-0.204833,0.17528,-0.610658
0.193,-0.206393,0.172949,-0.556443
0.194,-0.207954,0.170623,-0.502725
0.195,-0.209515,0.168301,-0.449502
0.196,-0.211075,0.165984,-0.396771
0.197,-0.212637,0.163672,-0.344529
