t,x,theta,u
0.001,0,0.523599,-21.6019
0.002,-9.88208e-06,0.523578,-21.4007
0.003,-3.94326e-05,0.523518,-21.201
0.004,-8.84612e-05,0.523417,-21.0028
0.005,-0.000156779,0.523277,-20.806
0.006,-0.000244198,0.523098,-20.6107
0.007,-0.000350534,0.522881,-20.4168
0.008,-0.000475602,0.522626,-20.2243
0.009,-0.00061922,0.522334,-20.0332
0.01,-0.000781207,0.522005,-19.8434
0.011,-0.000961383,0.52164,-19.655
0.012,-0.00115957,0.521239,-19.4679
0.013,-0.00137559,0.520803,-19.2821
0.014,-0.00160928,0.520332,-19.0976
0.015,-0.00186045,0.519827,-18.9143
0.016,-0.00212893,0.519288,-18.7323
0.017,-0.00241455,0.518715,-18.5516
0.018,-0.00271715,0.51811,-18.372
0.019,-0.00303656,0.517472,-18.1937
0.02,-0.0033726,0.516802,-18.0166
0.021,-0.00372511,0.5161,-17.8406
0.022,-0.00409393,0.515368,-17.6658
0.023,-0.0044789,0.514604,-17.4922
0.024,-0.00487984,0.513811,-17.3197
0.025,-0.00529661,0.512987,-17.1484
0.026,-0.00572904,0.512134,-16.9781
0.027,-0.00617697,0.511252,-16.809
0.028,-0.00664025,0.510342,-16.641
0.029,-0.00711872,0.509403,-16.4741
0.03,-0.00761222,0.508437,-16.3082
0.031,-0.0081206,0.507443,-16.1434
0.032,-0.0086437,0.506422,-15.9797
0.033,-0.00918138,0.505374,-15.817
0.034,-0.00973349,0.5043,-15.6554
0.035,-0.0102999,0.5032,-15.4948
0.036,-0.0108804,0.502075,-15.3353
0.037,-0.0114749,0.500925,-15.1767
0.038,-0.0120832,0.49975,-15.0192
0.039,-0.0127052,0.498551,-14.8627
0.04,-0.0133407,0.497327,-14.7072
0.041,-0.0139896,0.49608,-14.5527
0.042,-0.0146518,0.49481,-14.3991
0.043,-0.0153271,0.493517,-14.2466
0.044,-0.0160154,0.492201,-14.095
0.045,-0.0167165,0.490863,-13.9444
0.046,-0.0174303,0.489503,-13.7948
0.047,-0.0181566,0.488121,-13.6461
0.048,-0.0188954,0.486718,-13.4984
0.049,-0.0196464,0.485295,-13.3516
0.05,-0.0204096,0.483851,-13.2058
0.051,-0.0211848,0.482386,-13.0609
0.052,-0.0219719,0.480902,-12.917
0.053,-0.0227707,0.479398,-12.774
0.054,-0.0235811,0.477875,-12.6319
0.055,-0.024403,0.476333,-12.4907
0.056,-0.0252363,0.474772,-12.3505
0.057,-0.0260807,0.473193,-12.2112
0.058,-0.0269363,0.471596,-12.0728
0.059,-0.0278029,0.469981,-11.9353
0.06,-0.0286802,0.468349,-11.7987
0.061,-0.0295683,0.4667,-11.663
0.062,-0.030467,0.465034,-11.5283
0.063,-0.0313761,0.463351,-11.3944
0.064,-0.0322956,0.461652,-11.2614
0.065,-0.0332253,0.459938,-11.1293
0.066,-0.0341651,0.458207,-10.9981
0.067,-0.0351149,0.456462,-10.8678
0.068,-0.0360745,0.454701,-10.7384
0.069,-0.0370439,0.452925,-10.6099
0.07,-0.0380229,0.451135,-10.4822
0.071,-0.0390113,0.449331,-10.3554
0.072,-0.0400092,0.447512,-10.2295
0.073,-0.0410163,0.44568,-10.1045
0.074,-0.0420326,0.443835,-9.98033
0.075,-0.0430579,0.441976,-9.85704
0.076,-0.0440922,0.440105,-9.73461
0.077,-0.0451352,0.438221,-9.61305
0.078,-0.046187,0.436324,-9.49235
0.079,-0.0472473,0.434415,-9.37251
0.08,-0.0483161,0.432495,-9.25352
0.081,-0.0493933,0.430563,-9.13539
0.082,-0.0504787,0.428619,-9.01812
0.083,-0.0515723,0.426665,-8.90169
0.084,-0.0526739,0.424699,-8.78612
0.085,-0.0537834,0.422723,-8.67138
