time,q_x,q_z,q_pitch,q_lh,q_lk,q_rh,q_rk,v_x,v_z,v_pitch,v_lh,v_lk,v_rh,v_rk,tau_lh,tau_lk,tau_rh,tau_rk
0.0010,-0.000000,0.464990,0.000000,0.647200,-1.570800,0.523599,-1.570800,-0.000000,-0.009810,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0110,-0.000000,0.464353,0.000000,0.647200,-1.570800,0.523599,-1.570800,-0.000000,-0.107910,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0210,0.000001,0.462733,-0.000007,0.648448,-1.573416,0.523614,-1.570809,0.000293,-0.206448,-0.002933,0.647909,-1.341693,0.006822,-0.004002,0.000000,0.000000,0.000000,0.000000
0.0310,0.000002,0.460135,0.000062,0.656385,-1.590143,0.523509,-1.570783,0.000007,-0.303275,0.015929,0.909454,-1.941722,-0.026188,0.007997,0.000000,0.000000,0.000000,0.000000
0.0410,-0.000000,0.456572,0.000356,0.666820,-1.612785,0.523022,-1.570641,-0.000448,-0.399626,0.041521,1.149800,-2.525096,-0.068537,0.019120,0.000000,0.000000,0.000000,0.000000
0.0510,-0.000006,0.452045,0.000966,0.679516,-1.641159,0.531092,-1.591963,-0.001042,-0.495223,0.088679,1.344397,-3.082195,1.214119,-3.186913,0.000000,0.000000,0.000000,0.000000
0.0610,-0.000026,0.446582,0.002287,0.693641,-1.674825,0.543562,-1.626348,-0.002925,-0.588015,0.168991,1.463540,-3.594971,1.271414,-3.646459,0.000000,0.000000,0.000000,0.000000
0.0710,-0.000067,0.440194,0.004457,0.708782,-1.713462,0.556482,-1.665339,-0.005114,-0.680243,0.257470,1.550533,-4.079358,1.304130,-4.103605,0.000000,0.000000,0.000000,0.000000
0.0810,-0.000132,0.432887,0.007552,0.724614,-1.756786,0.569546,-1.708793,-0.007597,-0.771978,0.352926,1.605050,-4.535212,1.302927,-4.539423,0.000000,0.000000,0.000000,0.000000
0.0910,-0.000223,0.424664,0.011633,0.740813,-1.804515,0.582394,-1.756457,-0.010350,-0.863298,0.453884,1.627181,-4.963235,1.264037,-4.947803,0.000000,0.000000,0.000000,0.000000
0.1010,-0.000343,0.415531,0.016746,0.757055,-1.856377,0.594634,-1.808047,-0.013344,-0.954268,0.558724,1.616953,-5.364676,1.185184,-5.327495,0.000000,0.000000,0.000000,0.000000
0.1110,-0.000493,0.405489,0.022918,0.772972,-1.911910,0.605859,-1.863278,-0.016423,-1.044768,0.663563,1.530488,-5.537313,1.067432,-5.678745,0.000000,0.000000,0.000000,0.000000
0.1210,-0.000677,0.394542,0.030164,0.788381,-1.971420,0.615609,-1.921733,-0.019910,-1.135401,0.772916,1.501209,-6.102841,0.903636,-6.020877,0.000000,0.000000,0.000000,0.000000
0.1310,-0.000895,0.382692,0.038474,0.802791,-2.034257,0.623472,-1.983538,-0.023374,-1.225548,0.878070,1.386661,-6.429519,0.683087,-6.308950,0.000000,0.000000,0.000000,0.000000
0.1410,-0.001148,0.369942,0.047809,0.815839,-2.100087,0.628849,-2.048133,-0.026887,-1.315502,0.978643,1.241718,-6.764306,0.408557,-6.579869,0.000000,0.000000,0.000000,0.000000
0.1510,-0.001436,0.356294,0.058110,0.827213,-2.169254,0.631130,-2.115324,-0.030302,-1.405107,1.070775,1.044099,-7.042951,0.069820,-6.829834,0.000000,0.000000,0.000000,0.000000
0.1610,-0.001757,0.341752,0.069269,0.836341,-2.241203,0.629605,-2.184897,-0.033508,-1.494350,1.150506,0.797340,-7.317856,-0.347247,-7.058201,0.000000,0.000000,0.000000,0.000000
0.1710,-0.002107,0.326320,0.081127,0.842697,-2.315653,0.623401,-2.256634,-0.036317,-1.583105,1.212500,0.495629,-7.608756,-0.862120,-7.264786,0.000000,0.000000,0.000000,0.000000
0.1810,0.001027,0.315137,0.040698,0.940471,-2.380533,0.715113,-2.328733,0.477605,-0.907392,-6.357304,13.674562,-5.560140,13.280064,-5.952265,0.000000,0.000000,0.000000,0.000000
0.1910,0.005688,0.305568,-0.018363,1.068092,-2.438143,0.837421,-2.390521,0.457123,-0.996909,-5.553068,12.145316,-6.120222,11.373208,-6.144937,0.000000,0.000000,0.000000,0.000000
0.2010,0.010203,0.295135,-0.070742,1.178923,-2.489965,0.951899,-2.450502,0.446388,-1.081718,-4.975901,10.224743,-4.523193,11.421801,-6.169876,0.000000,0.000000,0.000000,0.000000
0.2110,0.014555,0.283822,-0.116593,1.277636,-2.549861,1.056775,-2.513937,0.426155,-1.171354,-4.275076,9.755506,-7.395545,9.675474,-6.037631,0.000000,0.000000,0.000000,0.000000
0.2210,0.018835,0.271704,-0.158019,1.368534,-2.613611,1.161988,-2.575150,0.423546,-1.249365,-3.929795,8.407340,-5.698499,9.913092,-6.043321,0.000000,0.000000,0.000000,0.000000
0.2310,0.023051,0.258762,-0.195486,1.445744,-2.663637,1.264474,-2.639359,0.418437,-1.331626,-3.572433,7.138162,-4.507974,9.930311,-6.341045,0.000000,0.000000,0.000000,0.000000
0.2410,0.027150,0.244961,-0.228323,1.513553,-2.722909,1.362211,-2.704276,0.396933,-1.421160,-2.940792,6.995421,-9.838165,9.533811,-6.098036,0.000000,0.000000,0.000000,0.000000
